title,model_answer,student_answer,human_score,max_score,subject
Prompt3 Typed Essay 5988,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 5988 - Content=3/3, PromptAdherence=3/3, Language=2/3, Narrativity=3/3. Full essay text requires training_set_rel3.tsv.]",9.17,10,reading
Prompt3 Typed Essay 5989,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 5989 - Content=1/3, PromptAdherence=1/3, Language=2/3, Narrativity=2/3. Full essay text requires training_set_rel3.tsv.]",4.67,10,reading
Prompt3 Typed Essay 5990,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 5990 - Content=2/3, PromptAdherence=2/3, Language=3/3, Narrativity=3/3. Full essay text requires training_set_rel3.tsv.]",8.0,10,reading
Prompt3 Typed Essay 5991,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 5991 - Content=1/3, PromptAdherence=1/3, Language=1/3, Narrativity=1/3. Full essay text requires training_set_rel3.tsv.]",3.33,10,reading
Prompt3 Typed Essay 5992,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 5992 - Content=1/3, PromptAdherence=2/3, Language=1/3, Narrativity=2/3. Full essay text requires training_set_rel3.tsv.]",4.67,10,reading
Prompt3 Typed Essay 5993,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 5993 - Content=1/3, PromptAdherence=1/3, Language=1/3, Narrativity=1/3. Full essay text requires training_set_rel3.tsv.]",3.33,10,reading
Prompt3 Typed Essay 5994,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 5994 - Content=1/3, PromptAdherence=1/3, Language=1/3, Narrativity=1/3. Full essay text requires training_set_rel3.tsv.]",3.33,10,reading
Prompt3 Typed Essay 5995,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 5995 - Content=2/3, PromptAdherence=2/3, Language=3/3, Narrativity=3/3. Full essay text requires training_set_rel3.tsv.]",8.0,10,reading
Prompt3 Typed Essay 5996,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 5996 - Content=2/3, PromptAdherence=2/3, Language=2/3, Narrativity=2/3. Full essay text requires training_set_rel3.tsv.]",6.67,10,reading
Prompt3 Typed Essay 5997,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 5997 - Content=2/3, PromptAdherence=2/3, Language=2/3, Narrativity=2/3. Full essay text requires training_set_rel3.tsv.]",6.67,10,reading
Prompt3 Typed Essay 5998,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 5998 - Content=2/3, PromptAdherence=2/3, Language=2/3, Narrativity=2/3. Full essay text requires training_set_rel3.tsv.]",6.67,10,reading
Prompt3 Typed Essay 5999,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 5999 - Content=0/3, PromptAdherence=0/3, Language=0/3, Narrativity=0/3. Full essay text requires training_set_rel3.tsv.]",0.0,10,reading
Prompt3 Typed Essay 6000,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 6000 - Content=3/3, PromptAdherence=2/3, Language=2/3, Narrativity=3/3. Full essay text requires training_set_rel3.tsv.]",8.33,10,reading
Prompt3 Typed Essay 6001,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 6001 - Content=0/3, PromptAdherence=1/3, Language=0/3, Narrativity=0/3. Full essay text requires training_set_rel3.tsv.]",0.83,10,reading
Prompt3 Typed Essay 6002,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 6002 - Content=2/3, PromptAdherence=2/3, Language=2/3, Narrativity=2/3. Full essay text requires training_set_rel3.tsv.]",6.67,10,reading
Prompt3 Typed Essay 6003,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 6003 - Content=3/3, PromptAdherence=3/3, Language=3/3, Narrativity=3/3. Full essay text requires training_set_rel3.tsv.]",10.0,10,reading
Prompt3 Typed Essay 6004,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 6004 - Content=0/3, PromptAdherence=0/3, Language=0/3, Narrativity=0/3. Full essay text requires training_set_rel3.tsv.]",0.0,10,reading
Prompt3 Typed Essay 6005,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 6005 - Content=1/3, PromptAdherence=1/3, Language=1/3, Narrativity=1/3. Full essay text requires training_set_rel3.tsv.]",3.33,10,reading
Prompt3 Typed Essay 6006,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 6006 - Content=1/3, PromptAdherence=2/3, Language=2/3, Narrativity=2/3. Full essay text requires training_set_rel3.tsv.]",5.5,10,reading
Prompt3 Typed Essay 6007,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 6007 - Content=2/3, PromptAdherence=3/3, Language=2/3, Narrativity=3/3. Full essay text requires training_set_rel3.tsv.]",8.0,10,reading
Prompt3 Typed Essay 6008,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 6008 - Content=1/3, PromptAdherence=1/3, Language=1/3, Narrativity=1/3. Full essay text requires training_set_rel3.tsv.]",3.33,10,reading
Prompt3 Typed Essay 6010,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 6010 - Content=2/3, PromptAdherence=2/3, Language=2/3, Narrativity=2/3. Full essay text requires training_set_rel3.tsv.]",6.67,10,reading
Prompt3 Typed Essay 6011,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 6011 - Content=0/3, PromptAdherence=0/3, Language=0/3, Narrativity=0/3. Full essay text requires training_set_rel3.tsv.]",0.0,10,reading
Prompt3 Typed Essay 6012,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 6012 - Content=0/3, PromptAdherence=0/3, Language=0/3, Narrativity=0/3. Full essay text requires training_set_rel3.tsv.]",0.0,10,reading
Prompt3 Typed Essay 6013,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 6013 - Content=1/3, PromptAdherence=1/3, Language=1/3, Narrativity=1/3. Full essay text requires training_set_rel3.tsv.]",3.33,10,reading
Prompt3 Typed Essay 6014,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 6014 - Content=3/3, PromptAdherence=3/3, Language=3/3, Narrativity=3/3. Full essay text requires training_set_rel3.tsv.]",10.0,10,reading
Prompt3 Typed Essay 6015,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 6015 - Content=2/3, PromptAdherence=3/3, Language=2/3, Narrativity=3/3. Full essay text requires training_set_rel3.tsv.]",8.0,10,reading
Prompt3 Typed Essay 6016,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 6016 - Content=2/3, PromptAdherence=2/3, Language=2/3, Narrativity=2/3. Full essay text requires training_set_rel3.tsv.]",6.67,10,reading
Prompt3 Typed Essay 6017,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 6017 - Content=1/3, PromptAdherence=1/3, Language=2/3, Narrativity=2/3. Full essay text requires training_set_rel3.tsv.]",4.67,10,reading
Prompt3 Typed Essay 6018,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 6018 - Content=0/3, PromptAdherence=0/3, Language=0/3, Narrativity=0/3. Full essay text requires training_set_rel3.tsv.]",0.0,10,reading
Prompt3 Typed Essay 6019,"Pandas in China and koalas in Australia are both specialist species, meaning they thrive in stable environments and rely on very specific food sources. China's panda eats almost nothing but bamboo, while Australia's koala bear eats eucalyptus leaves almost exclusively. Because their diets are so specialized, these animals can only survive in their native habitats. In contrast, pythons are generalist species that can adapt to a wide range of environments and prey. Generalists like pythons have a much greater variety of food sources and can live in many different climates and locations, ranging from their native Asia to places like Florida. This ability to adapt means generalists often become more abundant and can even become invasive species, while specialists are more vulnerable to environmental change.","[Typed essay text for Essay ID 6019 - Content=1/3, PromptAdherence=1/3, Language=1/3, Narrativity=2/3. Full essay text requires training_set_rel3.tsv.]",3.83,10,reading
